The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.29000E+02  0.15787E-04  0.64755E-04  0.75507E-03  0.59867E-02  0.87267E-03  0.48797E-04  0.59485E-04  0.69169E-03  0.64123E-01  0.90043E-01  0.44682E-03  0.73871E-04  0.48469E-03  0.73707E-01  0.67651E-03  0.88709E-01  0.50104E-03  0.52527E-03  0.75286E-02  0.59261E-01  0.80677E-01  0.57936E-02  0.96676E-01  0.89953E-01  0.60142E-03  0.84630E-03  0.50131E-03  0.70051E-01  0.73512E-03  0.93492E-01  0.66931E-04  0.66547E-04  0.80006E-03  0.96791E-01  0.67780E-01  0.59569E-03
  0.30000E+02  0.10459E-04  0.48882E-04  0.78026E-03  0.63498E-02  0.62254E-03  0.43772E-04  0.68472E-04  0.47375E-03  0.75358E-01  0.10102E+00  0.58595E-03  0.60971E-04  0.60119E-03  0.77865E-01  0.52879E-03  0.10966E+00  0.67131E-03  0.58683E-03  0.44259E-02  0.67912E-01  0.74346E-01  0.78831E-02  0.85578E-01  0.82426E-01  0.51558E-03  0.75785E-03  0.64304E-03  0.79196E-01  0.59872E-03  0.85651E-01  0.80749E-04  0.79378E-04  0.79402E-03  0.67568E-01  0.65437E-01  0.77428E-03
  0.31000E+02  0.85472E-05  0.56305E-04  0.65489E-03  0.77914E-02  0.93022E-03  0.39571E-04  0.52948E-04  0.66090E-03  0.91983E-01  0.73958E-01  0.69123E-03  0.64589E-04  0.80421E-03  0.83265E-01  0.37728E-03  0.88705E-01  0.89920E-03  0.71564E-03  0.57172E-02  0.96513E-01  0.51069E-01  0.75675E-02  0.49792E-01  0.94690E-01  0.52686E-03  0.56556E-03  0.54718E-03  0.81335E-01  0.77545E-03  0.98239E-01  0.57666E-04  0.64759E-04  0.70285E-03  0.74004E-01  0.85568E-01  0.60730E-03
  0.32000E+02  0.10829E-04  0.55838E-04  0.41302E-03  0.69719E-02  0.67899E-03  0.55561E-04  0.47847E-04  0.77269E-03  0.10663E+00  0.81781E-01  0.40787E-03  0.78447E-04  0.58373E-03  0.68391E-01  0.42463E-03  0.47217E-01  0.76810E-03  0.81148E-03  0.61984E-02  0.98908E-01  0.62325E-01  0.92091E-02  0.79693E-01  0.95608E-01  0.73853E-03  0.60279E-03  0.69758E-03  0.71549E-01  0.62177E-03  0.77125E-01  0.42472E-04  0.71312E-04  0.90820E-03  0.73820E-01  0.10505E+00  0.73787E-03
  0.33000E+02  0.12314E-04  0.54360E-04  0.59315E-03  0.82420E-02  0.82633E-03  0.46963E-04  0.54566E-04  0.75241E-03  0.89100E-01  0.69530E-01  0.65509E-03  0.62210E-04  0.62611E-03  0.91293E-01  0.53885E-03  0.50863E-01  0.92331E-03  0.59865E-03  0.10408E-01  0.87978E-01  0.93432E-01  0.61262E-02  0.86490E-01  0.86092E-01  0.57787E-03  0.82654E-03  0.68024E-03  0.59109E-01  0.55065E-03  0.98642E-01  0.60212E-04  0.61754E-04  0.44703E-03  0.69895E-01  0.83053E-01  0.79835E-03
  0.34000E+02  0.99838E-05  0.53143E-04  0.58032E-03  0.57741E-02  0.66815E-03  0.51391E-04  0.74440E-04  0.84337E-03  0.64098E-01  0.81788E-01  0.77627E-03  0.75642E-04  0.69981E-03  0.10308E+00  0.52633E-03  0.64304E-01  0.10611E-02  0.80434E-03  0.71943E-02  0.84147E-01  0.72583E-01  0.63719E-02  0.10694E+00  0.66503E-01  0.89689E-03  0.67016E-03  0.80462E-03  0.76259E-01  0.51396E-03  0.10160E+00  0.82591E-04  0.82749E-04  0.61284E-03  0.72914E-01  0.75850E-01  0.70020E-03
  0.35000E+02  0.96437E-05  0.50662E-04  0.81585E-03  0.77570E-02  0.55718E-03  0.65989E-04  0.41424E-04  0.53359E-03  0.73237E-01  0.47779E-01  0.68586E-03  0.66993E-04  0.90475E-03  0.10308E+00  0.42442E-03  0.61875E-01  0.72079E-03  0.67190E-03  0.61973E-02  0.92992E-01  0.10033E+00  0.71198E-02  0.10234E+00  0.10231E+00  0.93296E-03  0.53644E-03  0.89081E-03  0.69967E-01  0.47511E-03  0.61908E-01  0.57751E-04  0.80854E-04  0.54584E-03  0.75791E-01  0.77526E-01  0.71819E-03
  0.36000E+02  0.74216E-05  0.55706E-04  0.87139E-03  0.38791E-02  0.46080E-03  0.52952E-04  0.53498E-04  0.88257E-03  0.80203E-01  0.99852E-01  0.54707E-03  0.52144E-04  0.68242E-03  0.85663E-01  0.65075E-03  0.81280E-01  0.93557E-03  0.37689E-03  0.64272E-02  0.83773E-01  0.68733E-01  0.57606E-02  0.64546E-01  0.10771E+00  0.68640E-03  0.55436E-03  0.11746E-02  0.73623E-01  0.71321E-03  0.76400E-01  0.67256E-04  0.60279E-04  0.43232E-03  0.70894E-01  0.81166E-01  0.77062E-03
  0.37000E+02  0.96981E-05  0.66987E-04  0.68136E-03  0.28620E-02  0.63051E-03  0.48601E-04  0.65420E-04  0.84366E-03  0.11468E+00  0.56891E-01  0.79404E-03  0.37319E-04  0.79148E-03  0.62909E-01  0.63256E-03  0.77260E-01  0.63164E-03  0.51734E-03  0.60047E-02  0.90294E-01  0.91934E-01  0.52724E-02  0.83897E-01  0.84728E-01  0.92949E-03  0.39117E-03  0.51045E-03  0.64990E-01  0.62602E-03  0.95576E-01  0.58296E-04  0.58081E-04  0.70089E-03  0.78295E-01  0.74788E-01  0.59492E-03
  0.38000E+02  0.15179E-04  0.34252E-04  0.11605E-02  0.35554E-02  0.56911E-03  0.48664E-04  0.46951E-04  0.52950E-03  0.12030E+00  0.89408E-01  0.40902E-03  0.43969E-04  0.62451E-03  0.89174E-01  0.54004E-03  0.59808E-01  0.60602E-03  0.54794E-03  0.61685E-02  0.73268E-01  0.65323E-01  0.63448E-02  0.80762E-01  0.91226E-01  0.12429E-02  0.60146E-03  0.69369E-03  0.96826E-01  0.57463E-03  0.58992E-01  0.75287E-04  0.36234E-04  0.82795E-03  0.64585E-01  0.84475E-01  0.56125E-03
