The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.29000E+02  0.77209E-04  0.58398E-03  0.48964E-03  0.76201E-01  0.35740E-03  0.51206E-03  0.55723E-03  0.36745E-03  0.59791E-01  0.71433E-01  0.44736E-03  0.31504E-03  0.73697E-03  0.69665E-01  0.30681E-03  0.76638E-01  0.58715E-03  0.37064E-03  0.39710E-01  0.78113E-01  0.61579E-01  0.71061E-01  0.67339E-01  0.71952E-01  0.85445E-03  0.32453E-03  0.58536E-03  0.59953E-01  0.31873E-03  0.61163E-01  0.58344E-03  0.41406E-03  0.61294E-03  0.69953E-01  0.55785E-01  0.26067E-03
  0.30000E+02  0.60831E-04  0.41857E-03  0.51202E-03  0.72871E-01  0.46234E-03  0.52883E-03  0.30996E-03  0.44294E-03  0.64987E-01  0.85532E-01  0.35648E-03  0.39565E-03  0.56192E-03  0.75065E-01  0.23954E-03  0.66530E-01  0.57676E-03  0.33320E-03  0.48611E-01  0.90177E-01  0.51723E-01  0.63879E-01  0.49020E-01  0.95858E-01  0.71254E-03  0.33494E-03  0.59134E-03  0.45448E-01  0.39680E-03  0.43179E-01  0.50276E-03  0.73687E-03  0.42400E-03  0.78594E-01  0.59354E-01  0.27339E-03
  0.31000E+02  0.63921E-04  0.50744E-03  0.51552E-03  0.53903E-01  0.74271E-03  0.67997E-03  0.39410E-03  0.33989E-03  0.54967E-01  0.66083E-01  0.36919E-03  0.31869E-03  0.58519E-03  0.55996E-01  0.31204E-03  0.82936E-01  0.73918E-03  0.51134E-03  0.55395E-01  0.10229E+00  0.39628E-01  0.67375E-01  0.56484E-01  0.10331E+00  0.63155E-03  0.40307E-03  0.80823E-03  0.68415E-01  0.35117E-03  0.55138E-01  0.59699E-03  0.48123E-03  0.27830E-03  0.69550E-01  0.58661E-01  0.23833E-03
  0.32000E+02  0.81149E-04  0.66761E-03  0.68778E-03  0.61807E-01  0.64948E-03  0.37864E-03  0.43555E-03  0.33685E-03  0.61792E-01  0.55448E-01  0.28771E-03  0.58721E-03  0.81035E-03  0.52035E-01  0.41470E-03  0.59362E-01  0.70637E-03  0.46360E-03  0.78793E-01  0.78204E-01  0.56980E-01  0.67505E-01  0.62604E-01  0.94296E-01  0.53647E-03  0.42625E-03  0.64055E-03  0.68634E-01  0.26396E-03  0.74849E-01  0.38082E-03  0.40478E-03  0.32876E-03  0.67270E-01  0.50590E-01  0.34207E-03
  0.33000E+02  0.67888E-04  0.50856E-03  0.65053E-03  0.60706E-01  0.45297E-03  0.43902E-03  0.41870E-03  0.31190E-03  0.65981E-01  0.55824E-01  0.27813E-03  0.38813E-03  0.51952E-03  0.61264E-01  0.52283E-03  0.49861E-01  0.89250E-03  0.32511E-03  0.87905E-01  0.75369E-01  0.51992E-01  0.99796E-01  0.58876E-01  0.56276E-01  0.52244E-03  0.43862E-03  0.94896E-03  0.47987E-01  0.54370E-03  0.66938E-01  0.63150E-03  0.27755E-03  0.33708E-03  0.56074E-01  0.95383E-01  0.29315E-03
  0.34000E+02  0.79543E-04  0.42268E-03  0.90293E-03  0.88523E-01  0.71432E-03  0.51458E-03  0.39766E-03  0.51454E-03  0.60147E-01  0.58088E-01  0.46385E-03  0.31588E-03  0.55151E-03  0.49423E-01  0.44468E-03  0.47170E-01  0.74943E-03  0.43364E-03  0.93167E-01  0.82077E-01  0.60426E-01  0.98755E-01  0.64242E-01  0.46536E-01  0.35992E-03  0.33884E-03  0.54570E-03  0.45550E-01  0.43738E-03  0.54135E-01  0.50398E-03  0.47521E-03  0.33992E-03  0.72410E-01  0.69289E-01  0.55626E-03
  0.35000E+02  0.10226E-03  0.41140E-03  0.83631E-03  0.69282E-01  0.48675E-03  0.65266E-03  0.49352E-03  0.66972E-03  0.58818E-01  0.67974E-01  0.36649E-03  0.51578E-03  0.55965E-03  0.40561E-01  0.30802E-03  0.55547E-01  0.77893E-03  0.18027E-03  0.82299E-01  0.60638E-01  0.53062E-01  0.13852E+00  0.64745E-01  0.77447E-01  0.57283E-03  0.37810E-03  0.43309E-03  0.45546E-01  0.34744E-03  0.42306E-01  0.43486E-03  0.50211E-03  0.20611E-03  0.74616E-01  0.58950E-01  0.44915E-03
  0.36000E+02  0.56541E-04  0.27956E-03  0.63572E-03  0.74160E-01  0.51241E-03  0.38077E-03  0.53865E-03  0.35261E-03  0.54755E-01  0.45887E-01  0.36097E-03  0.36353E-03  0.55913E-03  0.52608E-01  0.37634E-03  0.67602E-01  0.50907E-03  0.39798E-03  0.10548E+00  0.57330E-01  0.47811E-01  0.14816E+00  0.51943E-01  0.59333E-01  0.72877E-03  0.39397E-03  0.50022E-03  0.61431E-01  0.35939E-03  0.59651E-01  0.49567E-03  0.67706E-03  0.39071E-03  0.56685E-01  0.47933E-01  0.35343E-03
  0.37000E+02  0.55718E-04  0.58989E-03  0.60935E-03  0.11155E+00  0.76534E-03  0.54345E-03  0.56859E-03  0.37731E-03  0.66553E-01  0.47590E-01  0.30540E-03  0.39192E-03  0.56311E-03  0.42675E-01  0.46614E-03  0.63139E-01  0.49643E-03  0.44115E-03  0.12220E+00  0.52400E-01  0.32029E-01  0.10396E+00  0.47183E-01  0.74733E-01  0.45394E-03  0.43489E-03  0.55868E-03  0.49896E-01  0.46498E-03  0.64714E-01  0.50509E-03  0.30457E-03  0.36219E-03  0.71656E-01  0.40180E-01  0.28853E-03
  0.38000E+02  0.55676E-04  0.57042E-03  0.49900E-03  0.72780E-01  0.41146E-03  0.60274E-03  0.60325E-03  0.49995E-03  0.45467E-01  0.76794E-01  0.40695E-03  0.31334E-03  0.31901E-03  0.38787E-01  0.48707E-03  0.81448E-01  0.69419E-03  0.46525E-03  0.90188E-01  0.86121E-01  0.53177E-01  0.78404E-01  0.42919E-01  0.88549E-01  0.73762E-03  0.31864E-03  0.72832E-03  0.57307E-01  0.36449E-03  0.55923E-01  0.39085E-03  0.51567E-03  0.41520E-03  0.72997E-01  0.49477E-01  0.26249E-03
