The average electron(hole) population on different adiabatic wave function for one core sample. 
        time       wsit(1)      wsit(2)      wsit(3)      wsit(4)      wsit(5)      wsit(6)      wsit(7)      wsit(8)      wsit(9)     wsit(10)     wsit(11)     wsit(12)     wsit(13)     wsit(14)     wsit(15)     wsit(16)     wsit(17)     wsit(18)     wsit(19)     wsit(20)     wsit(21)     wsit(22)     wsit(23)     wsit(24)     wsit(25)     wsit(26)     wsit(27)     wsit(28)     wsit(29)     wsit(30)     wsit(31)     wsit(32)     wsit(33)     wsit(34)     wsit(35)     wsit(36)
         fs              1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.29000E+02  0.81047E-05  0.17864E-04  0.11657E+00  0.70253E-02  0.91509E-01  0.61951E-01  0.15187E-01  0.95721E-01  0.13721E+00  0.52138E-01  0.86947E-01  0.48883E-01  0.93055E-01  0.17558E-01  0.58521E-01  0.10410E+00  0.10227E-01  0.16924E-03  0.64745E-04  0.82953E-04  0.37858E-04  0.12775E-03  0.11383E-03  0.98249E-04  0.10131E-03  0.72996E-04  0.10864E-03  0.88904E-04  0.11138E-03  0.41546E-03  0.47613E-03  0.48471E-03  0.30077E-03  0.26808E-03  0.24115E-03  0.18302E-04
  0.30000E+02  0.60476E-05  0.22135E-04  0.12236E+00  0.54805E-02  0.84157E-01  0.55112E-01  0.13626E-01  0.13431E+00  0.13299E+00  0.24490E-01  0.90326E-01  0.58245E-01  0.92983E-01  0.17334E-01  0.51663E-01  0.10413E+00  0.93194E-02  0.13163E-03  0.13545E-03  0.56154E-04  0.79799E-04  0.99410E-04  0.69937E-04  0.79189E-04  0.14634E-03  0.11030E-03  0.97329E-04  0.78441E-04  0.13150E-03  0.40849E-03  0.35731E-03  0.46430E-03  0.37805E-03  0.27525E-03  0.32499E-03  0.18059E-04
  0.31000E+02  0.13869E-04  0.18019E-04  0.12151E+00  0.78178E-02  0.76855E-01  0.76286E-01  0.58287E-01  0.88769E-01  0.13215E+00  0.18225E-01  0.92611E-01  0.52798E-01  0.93949E-01  0.14185E-01  0.48858E-01  0.99536E-01  0.14668E-01  0.10744E-03  0.15046E-03  0.84634E-04  0.82111E-04  0.62617E-04  0.99574E-04  0.14928E-03  0.90511E-04  0.10916E-03  0.10623E-03  0.13145E-03  0.58880E-04  0.36398E-03  0.51718E-03  0.35687E-03  0.38542E-03  0.34953E-03  0.23888E-03  0.14866E-04
  0.32000E+02  0.16436E-04  0.89328E-05  0.17113E+00  0.14473E-01  0.78727E-01  0.62467E-01  0.50052E-01  0.46461E-01  0.12674E+00  0.22449E-01  0.89051E-01  0.63225E-01  0.90495E-01  0.12203E-01  0.58310E-01  0.10089E+00  0.99778E-02  0.11728E-03  0.13814E-03  0.41344E-04  0.70068E-04  0.11053E-03  0.50609E-04  0.92192E-04  0.11982E-03  0.15452E-03  0.65172E-04  0.10367E-03  0.11560E-03  0.28392E-03  0.32822E-03  0.54456E-03  0.30286E-03  0.33788E-03  0.32702E-03  0.19684E-04
  0.33000E+02  0.17526E-04  0.11467E-04  0.17797E+00  0.15948E-01  0.73811E-01  0.91733E-01  0.17400E-01  0.92997E-01  0.96689E-01  0.12872E-01  0.12646E+00  0.14860E-01  0.91354E-01  0.15056E-01  0.57661E-01  0.10030E+00  0.11606E-01  0.94579E-04  0.52905E-04  0.90575E-04  0.11580E-03  0.66997E-04  0.69310E-04  0.91855E-04  0.11916E-03  0.83457E-04  0.10793E-03  0.13414E-03  0.86427E-04  0.41462E-03  0.34985E-03  0.38273E-03  0.34369E-03  0.38093E-03  0.24868E-03  0.18973E-04
  0.34000E+02  0.15672E-04  0.14098E-04  0.16362E+00  0.33677E-01  0.10676E+00  0.11194E+00  0.12663E-01  0.83927E-01  0.97493E-01  0.56634E-01  0.51180E-01  0.83718E-02  0.90161E-01  0.10321E-01  0.10008E+00  0.58289E-01  0.11662E-01  0.12569E-03  0.74675E-04  0.11322E-03  0.91175E-04  0.72656E-04  0.92741E-04  0.84917E-04  0.95780E-04  0.87216E-04  0.79073E-04  0.91330E-04  0.10430E-03  0.40461E-03  0.36668E-03  0.41085E-03  0.32348E-03  0.31278E-03  0.24307E-03  0.18428E-04
  0.35000E+02  0.10105E-04  0.95824E-05  0.15328E+00  0.47754E-01  0.96413E-01  0.11781E+00  0.14248E-01  0.88645E-01  0.95782E-01  0.52249E-01  0.53065E-01  0.11641E-01  0.91606E-01  0.52706E-01  0.55854E-01  0.53980E-01  0.11720E-01  0.11403E-03  0.14469E-03  0.98774E-04  0.86696E-04  0.54996E-04  0.11179E-03  0.54630E-04  0.13175E-03  0.95242E-04  0.11915E-03  0.76857E-04  0.10089E-03  0.38010E-03  0.35071E-03  0.39440E-03  0.39438E-03  0.22248E-03  0.28996E-03  0.15600E-04
  0.36000E+02  0.87867E-05  0.12196E-04  0.14096E+00  0.43099E-01  0.13675E+00  0.12148E+00  0.22092E-01  0.48616E-01  0.89480E-01  0.55883E-01  0.52880E-01  0.16223E-01  0.10187E+00  0.44577E-01  0.56438E-01  0.53473E-01  0.13028E-01  0.18877E-03  0.63474E-04  0.13758E-03  0.77043E-04  0.51807E-04  0.75175E-04  0.80615E-04  0.89971E-04  0.89976E-04  0.12038E-03  0.56943E-04  0.79905E-04  0.20554E-03  0.45966E-03  0.43287E-03  0.26229E-03  0.33608E-03  0.29299E-03  0.18782E-04
  0.37000E+02  0.14695E-04  0.10449E-04  0.13077E+00  0.81751E-01  0.10702E+00  0.12458E+00  0.12820E-01  0.54114E-01  0.97033E-01  0.10353E+00  0.83533E-02  0.15421E-01  0.96992E-01  0.45843E-01  0.53556E-01  0.56801E-01  0.82365E-02  0.15504E-03  0.93769E-04  0.11208E-03  0.65823E-04  0.68041E-04  0.58639E-04  0.11751E-03  0.97531E-04  0.88093E-04  0.70052E-04  0.72909E-04  0.64820E-04  0.47951E-03  0.40384E-03  0.43417E-03  0.22187E-03  0.25752E-03  0.27082E-03  0.21624E-04
  0.38000E+02  0.14262E-04  0.13192E-04  0.12176E+00  0.74219E-01  0.81538E-01  0.14263E+00  0.85857E-02  0.25948E-01  0.14724E+00  0.94212E-01  0.10803E-01  0.16180E-01  0.95325E-01  0.57647E-01  0.53507E-01  0.57610E-01  0.94515E-02  0.13034E-03  0.84983E-04  0.13738E-03  0.89378E-04  0.44127E-04  0.79796E-04  0.13863E-03  0.18052E-03  0.12240E-03  0.96773E-04  0.86585E-04  0.79221E-04  0.33717E-03  0.38724E-03  0.36694E-03  0.44652E-03  0.28341E-03  0.21452E-03  0.17113E-04
  0.39000E+02  0.97784E-05  0.18310E-04  0.11902E+00  0.80276E-01  0.12396E+00  0.17716E+00  0.15302E-01  0.26102E-01  0.49218E-01  0.96658E-01  0.24884E-01  0.11605E-01  0.97793E-01  0.49625E-01  0.58422E-01  0.60547E-01  0.62307E-02  0.14237E-03  0.11110E-03  0.12204E-03  0.84300E-04  0.93634E-04  0.62000E-04  0.11859E-03  0.79516E-04  0.10345E-03  0.85672E-04  0.83424E-04  0.87145E-04  0.43576E-03  0.28352E-03  0.45986E-03  0.32248E-03  0.19625E-03  0.27366E-03  0.16514E-04
  0.40000E+02  0.28818E-04  0.16997E-04  0.11613E+00  0.87026E-01  0.12804E+00  0.17442E+00  0.23944E-01  0.22004E-01  0.48905E-01  0.59767E-01  0.57227E-01  0.12337E-01  0.94997E-01  0.50841E-01  0.57466E-01  0.55122E-01  0.87077E-02  0.12589E-03  0.14419E-03  0.84879E-04  0.73105E-04  0.79197E-04  0.65420E-04  0.18747E-03  0.79004E-04  0.53797E-04  0.85503E-04  0.74956E-04  0.59790E-04  0.42226E-03  0.24683E-03  0.29391E-03  0.27379E-03  0.28895E-03  0.35897E-03  0.20505E-04
  0.41000E+02  0.13621E-04  0.15162E-04  0.11865E+00  0.96839E-01  0.16555E+00  0.12989E+00  0.20364E-01  0.19874E-01  0.49354E-01  0.63208E-01  0.61444E-01  0.84757E-02  0.92161E-01  0.56246E-01  0.53701E-01  0.52272E-01  0.88900E-02  0.18840E-03  0.70308E-04  0.13025E-03  0.66941E-04  0.91771E-04  0.94467E-04  0.15890E-03  0.89763E-04  0.83449E-04  0.97417E-04  0.38779E-04  0.47361E-04  0.39805E-03  0.23226E-03  0.40442E-03  0.20072E-03  0.39080E-03  0.23773E-03  0.25313E-04
